Aa	Ao	Fn	Pg	Sg	So	Va
K01869	K02026	K01956	K02117	K01926	K01992	K01996
K01870	K02027	K01962	K02118	K01928	K01995	K01997
K01872	K02028	K01963	K02120	K01929	K01996	K01998
K01873	K02029	K01972	K02121	K01933	K01997	K01999
K01874	K02030	K01989	K02123	K01934	K01998	K02003
K01875	K02032	K01990	K02124	K01937	K01999	K02004
K01876	K02033	K01992	K02169	K01938	K02003	K02012
K01878	K02034	K01995	K02188	K01939	K02004	K02013
K01879	K02035	K01996	K02190	K01940	K02005	K02014
K01881	K02036	K01997	K02217	K01945	K02010	K02015
K01883	K02037	K01998	K02224	K01951	K02011	K02016
K01886	K02038	K01999	K02226	K01952	K02012	K02017
K01887	K02040	K02003	K02227	K01955	K02013	K02018
K01889	K02049	K02004	K02230	K01956	K02015	K02020
K01890	K02050	K02009	K02231	K01961	K02016	K02028
K01892	K02051	K02010	K02232	K01962	K02025	K02029
K01893	K02056	K02011	K02233	K01963	K02026	K02030
K01897	K02057	K02012	K02238	K01972	K02027	K02031
K01902	K02064	K02013	K02313	K01989	K02028	K02032
K01903	K02071	K02014	K02314	K01990	K02029	K02033
K01910	K02072	K02015	K02316	K01992	K02030	K02034
K01911	K02073	K02016	K02335	K01995	K02035	K02035
K01914	K02075	K02028	K02337	K01996	K02036	K02049
K01915	K02077	K02029	K02338	K01997	K02037	K02050
K01919	K02078	K02030	K02340	K01998	K02038	K02051
K01921	K02081	K02031	K02341	K01999	K02039	K02065
K01924	K02108	K02032	K02342	K02003	K02040	K02066
K01925	K02109	K02033	K02343	K02004	K02056	K02067
K01928	K02110	K02034	K02355	K02005	K02057	K02071
K01929	K02111	K02035	K02356	K02013	K02071	K02072
K01933	K02112	K02041	K02357	K02015	K02072	K02073
K01934	K02113	K02044	K02358	K02016	K02073	K02078
K01935	K02114	K02049	K02371	K02025	K02078	K02108
K01937	K02115	K02050	K02377	K02026	K02082	K02109
K01939	K02168	K02051	K02426	K02027	K02086	K02110
K01940	K02221	K02056	K02428	K02028	K02108	K02111
K01951	K02237	K02057	K02429	K02029	K02109	K02112
K01961	K02238	K02071	K02437	K02030	K02110	K02113
K01962	K02283	K02072	K02469	K02035	K02111	K02114
K01963	K02313	K02073	K02470	K02036	K02112	K02115
K01971	K02314	K02077	K02472	K02037	K02113	K02188
K01972	K02335	K02078	K02474	K02038	K02114	K02189
K01992	K02337	K02106	K02481	K02039	K02115	K02190
K01993	K02338	K02107	K02493	K02040	K02160	K02191
K02003	K02342	K02108	K02495	K02056	K02221	K02224
K02004	K02346	K02109	K02503	K02057	K02236	K02226
K02006	K02355	K02110	K02517	K02071	K02237	K02227
K02007	K02356	K02111	K02518	K02072	K02238	K02230
K02010	K02357	K02112	K02519	K02073	K02240	K02231
K02011	K02358	K02113	K02520	K02078	K02242	K02232
